left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
8,37,30,39,0.22,0.22,0.22
15,51,31,47,0.29,0.29,0.29
12,49,37,49,0.24,0.24,0.24
7,52,34,43,0.13,0.13,0.13
11,49,32,44,0.22,0.22,0.22
13,49,37,41,0.27,0.27,0.27
5,57,21,56,0.09,0.09,0.09
5,55,26,42,0.09,0.09,0.09
7,46,15,48,0.15,0.15,0.15
6,37,23,44,0.16,0.16,0.16
7,46,24,46,0.15,0.15,0.15
10,57,22,47,0.18,0.18,0.18
7,49,20,45,0.14,0.14,0.14
8,47,29,47,0.17,0.17,0.17
17,32,44,35,0.53,0.53,0.53
17,35,44,50,0.49,0.49,0.49
15,40,33,49,0.38,0.38,0.38
6,43,29,42,0.14,0.14,0.14
4,47,27,58,0.09,0.09,0.09
8,45,27,46,0.18,0.18,0.18
11,47,32,52,0.23,0.23,0.23
11,48,35,45,0.23,0.23,0.23
13,42,37,45,0.31,0.31,0.31
11,43,38,48,0.26,0.26,0.26
15,35,43,45,0.43,0.43,0.43
14,30,44,49,0.47,0.47,0.47
8,24,44,25,0.33,0.33,0.33
10,38,47,37,0.26,0.26,0.26
8,17,48,44,0.47,0.47,0.47
8,36,47,52,0.22,0.22,0.22
8,13,46,38,0.62,0.62,0.62
12,31,50,39,0.39,0.39,0.39
14,32,41,51,0.44,0.44,0.44
11,35,54,46,0.31,0.31,0.31
1,10,47,26,0.1,0.1,0.1
14,18,30,51,0.78,0.78,0.78
11,25,42,52,0.44,0.44,0.44
16,25,37,31,0.64,0.64,0.64
13,26,20,21,0.5,0.5,0.5
6,39,29,37,0.15,0.15,0.15
